ID_Periodo_h,Flujo_Salida_por_Min,Flujo_Llegada_por_Min,Coste_Rebalanceo_Cm,Penalizacion_Cuadratica_Alpha,Estacion_Critica_ID
0,0.12741935483870967,0.1338709677419355,0.15,5.0,57
1,0.08870967741935484,0.08817204301075268,0.15,5.0,57
2,0.08064516129032258,0.08978494623655914,0.15,5.0,57
3,0.04032258064516129,0.04139784946236559,0.15,5.0,57
4,0.026881720430107527,0.02795698924731183,0.15,5.0,57
5,0.024193548387096774,0.025268817204301075,0.15,5.0,57
6,0.026344086021505377,0.026881720430107527,0.15,5.0,57
7,0.09731182795698924,0.08602150537634409,0.15,5.0,57
8,0.13763440860215054,0.1424731182795699,0.15,5.0,57
9,0.1817204301075269,0.17795698924731182,0.15,5.0,57
10,0.11129032258064517,0.11989247311827957,0.15,5.0,57
11,0.12419354838709677,0.11397849462365592,0.15,5.0,57
12,0.1403225806451613,0.14086021505376345,0.15,5.0,57
13,0.15806451612903225,0.14838709677419354,0.15,5.0,57
14,0.19193548387096773,0.18763440860215053,0.15,5.0,57
15,0.16774193548387098,0.17849462365591398,0.15,5.0,57
16,0.17204301075268819,0.16129032258064516,0.15,5.0,57
17,0.16774193548387098,0.1639784946236559,0.15,5.0,57
18,0.21021505376344085,0.18870967741935485,0.15,5.0,57
19,0.19946236559139785,0.21397849462365592,0.15,5.0,57
20,0.17150537634408602,0.17311827956989248,0.15,5.0,57
21,0.12473118279569892,0.13763440860215054,0.15,5.0,57
22,0.10967741935483871,0.11344086021505376,0.15,5.0,57
23,0.1338709677419355,0.13279569892473117,0.15,5.0,57
